date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:58:47	1264/1264	---M--	200	added ('OK')	image/png	etag:%224f0-5e82bb68c0a30%22	https://www.supersim.com.br/media/2022/09/icone-pix-home.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/icone-pix-home.png	(from https://www.supersim.com.br/)
13:58:48	77267/77267	---MCZ	200	added ('OK')	text/html	etag:%22ede1c3d79d2a507a3ef734eaff2598c6%22	https://www.supersim.com.br/termos/condicoes/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/termos/condicoes/index.html	(from https://www.supersim.com.br/)
13:58:48	87861/87861	---MCZ	200	added ('OK')	text/html	etag:%2267e5b27c3e3f9a24857146fc433d57c5%22	https://www.supersim.com.br/termos/privacidade/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/termos/privacidade/index.html	(from https://www.supersim.com.br/)
13:58:49	62342/62342	---MCZ	200	added ('OK')	text/html	etag:%221da6233c45c1b087dba0d46682a476c4%22	https://www.supersim.com.br/termos/banco-central-scr/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/termos/banco-central-scr/index.html	(from https://www.supersim.com.br/)
13:58:49	1413/1413	---M--	200	added ('OK')	image/png	etag:%22585-5e82bb6a1e7b8%22	https://www.supersim.com.br/media/2022/09/home-mais-inclusao-icone.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/home-mais-inclusao-icone.png	(from https://www.supersim.com.br/)
13:58:50	1182/1182	---M--	200	added ('OK')	image/png	etag:%2249e-5e82bb6b60fc3%22	https://www.supersim.com.br/media/2022/09/reducao-juros-icone-home.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/reducao-juros-icone-home.png	(from https://www.supersim.com.br/)
13:58:51	1235/1235	---M--	200	added ('OK')	image/png	etag:%224d3-5e82bb6c9553e%22	https://www.supersim.com.br/media/2022/09/mini-parcelas-icone-home.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/mini-parcelas-icone-home.png	(from https://www.supersim.com.br/)
13:58:51	4876/4876	---M--	200	added ('OK')	image/jpeg	etag:%22130c-5e82bb6db0c4d%22	https://www.supersim.com.br/media/2022/09/emprestimo-online.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-online.jpg	(from https://www.supersim.com.br/)
13:58:52	7852/7852	---M--	200	added ('OK')	image/jpeg	etag:%221eac-5e82bb6f34361%22	https://www.supersim.com.br/media/2022/09/credito-online-na-hora.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/credito-online-na-hora.jpg	(from https://www.supersim.com.br/)
13:58:53	6037/6037	---M--	200	added ('OK')	image/jpeg	etag:%221795-5e82bb70da90a%22	https://www.supersim.com.br/media/2022/09/simulacao-de-emprestimo.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/simulacao-de-emprestimo.jpg	(from https://www.supersim.com.br/)
13:58:54	103571/103571	---MCZ	200	added ('OK')	text/html	etag:%22ce4aac7eceeb29288ac2e5f9df24b922%22	https://www.supersim.com.br/emprestimo-pessoal/emprestimo-pessoal-online/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-pessoal/emprestimo-pessoal-online/index.html	(from https://www.supersim.com.br/)
13:58:54	5659/5659	---M--	200	added ('OK')	image/jpeg	etag:%22161b-5e82bb7265166%22	https://www.supersim.com.br/media/2022/09/emprestimo-pessoal-para-negativado.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-pessoal-para-negativado.jpg	(from https://www.supersim.com.br/)
13:58:55	112543/112543	---MCZ	200	added ('OK')	text/html	etag:%2262af868f3004288142d1b3f4e750bbe4%22	https://www.supersim.com.br/emprestimo-online-para-negativados/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-online-para-negativados/index.html	(from https://www.supersim.com.br/)
13:58:55	6602/6602	---M--	200	added ('OK')	image/jpeg	etag:%2219ca-5e82bb74110e7%22	https://www.supersim.com.br/media/2022/09/credito-pessoal-online.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/credito-pessoal-online.jpg	(from https://www.supersim.com.br/)
13:58:56	8310/8310	---M--	200	added ('OK')	image/png	etag:%222076-5e82bb76073e1%22	https://www.supersim.com.br/media/2022/09/emprestimo-garantia-celular.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-garantia-celular.png	(from https://www.supersim.com.br/)
13:58:57	453/453	---M--	200	added ('OK')	image/png	etag:%221c5-5e82bb77da846%22	https://www.supersim.com.br/media/2022/09/orange-check-icon.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/orange-check-icon.png	(from https://www.supersim.com.br/)
13:58:57	7574/7574	---M--	200	added ('OK')	image/png	etag:%221d96-5e82bb79d8458%22	https://www.supersim.com.br/media/2022/09/emprestimo-sem-garantia.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-sem-garantia.png	(from https://www.supersim.com.br/)
13:58:58	4148/4148	---M--	200	added ('OK')	image/webp	etag:%221034-5f82579a2c3db%22	https://www.supersim.com.br/media/2023/03/multiplik.webp	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/03/multiplik.webp	(from https://www.supersim.com.br/)
13:58:59	82730/82730	---MCZ	200	added ('OK')	text/html	etag:%2248dd7355a3c6fed59be45c5bfd699921%22	https://www.supersim.com.br/blog/como-ganhar-dinheiro-na-internet/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/blog/como-ganhar-dinheiro-na-internet/index.html	(from https://www.supersim.com.br/)
13:58:59	30336/30336	---M--	200	added ('OK')	image/png	etag:%227680-5e82bb7c3f3f7%22	https://www.supersim.com.br/media/2022/09/emprestimo-agora-na-conta.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-agora-na-conta.png	(from https://www.supersim.com.br/)
13:59:00	2523/2523	---M--	200	added ('OK')	image/png	etag:%229db-5e82bb7f59e86%22	https://www.supersim.com.br/media/2022/09/emprestimo-com-garantia.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-com-garantia.png	(from https://www.supersim.com.br/)
13:59:01	2525/2525	---M--	200	added ('OK')	image/png	etag:%229dd-5e82bb816787e%22	https://www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-na-hora.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/emprestimo-pessoal-online-na-hora.png	(from https://www.supersim.com.br/)
13:59:02	5223/5223	---M--	200	added ('OK')	image/png	etag:%221467-5e82bb835b081%22	https://www.supersim.com.br/media/2022/09/pessoa1.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pessoa1.png	(from https://www.supersim.com.br/)
13:59:02	4644/4644	---M--	200	added ('OK')	image/png	etag:%221224-5e82bb851a0b0%22	https://www.supersim.com.br/media/2022/09/pessoa2.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pessoa2.png	(from https://www.supersim.com.br/)
13:59:03	4768/4768	---M--	200	added ('OK')	image/png	etag:%2212a0-5e82bb873e205%22	https://www.supersim.com.br/media/2022/09/pessoa3.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pessoa3.png	(from https://www.supersim.com.br/)
13:59:04	4264/4264	---M--	200	added ('OK')	image/png	etag:%2210a8-5e82bb8931620%22	https://www.supersim.com.br/media/2022/09/pessoa4.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pessoa4.png	(from https://www.supersim.com.br/)
13:59:04	4234/4234	---M--	200	added ('OK')	image/png	etag:%22108a-5e82bb8ae46e8%22	https://www.supersim.com.br/media/2022/09/pessoa5.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pessoa5.png	(from https://www.supersim.com.br/)
13:59:05	686/686	---M--	200	added ('OK')	image/png	etag:%222ae-5e82bb8cec320%22	https://www.supersim.com.br/media/2022/09/avatar-tatiana-bispo.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/avatar-tatiana-bispo.png	(from https://www.supersim.com.br/)
13:59:06	2503/2503	---M--	200	added ('OK')	image/png	etag:%229c7-6017e815af56f%22	https://www.supersim.com.br/media/2023/07/metropoles.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/07/metropoles.png	(from https://www.supersim.com.br/)
13:59:07	3224/3224	---M--	200	added ('OK')	image/png	etag:%22c98-6017e816ffc26%22	https://www.supersim.com.br/media/2023/07/exame.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/07/exame.png	(from https://www.supersim.com.br/)
13:59:08	1197/1197	---M--	200	added ('OK')	image/png	etag:%224ad-5e82bb92aa222%22	https://www.supersim.com.br/media/2022/09/valoreconomico.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/valoreconomico.png	(from https://www.supersim.com.br/)
13:59:09	2630/2630	---M--	200	added ('OK')	image/png	etag:%22a46-5e82bb947fd97%22	https://www.supersim.com.br/media/2022/09/pegn.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/pegn.png	(from https://www.supersim.com.br/)
13:59:09	1107/1107	---M--	200	added ('OK')	image/png	etag:%22453-5e82bb96ca049%22	https://www.supersim.com.br/media/2022/09/opovo.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/opovo.png	(from https://www.supersim.com.br/)
13:59:10	3238/3238	---M--	200	added ('OK')	image/png	etag:%22ca6-6017e81855cb4%22	https://www.supersim.com.br/media/2023/07/endeavor.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/07/endeavor.png	(from https://www.supersim.com.br/)
13:59:11	2728/2728	---M--	200	added ('OK')	image/png	etag:%22aa8-5e82bb9b1943c%22	https://www.supersim.com.br/media/2022/09/correiodoestado.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/correiodoestado.png	(from https://www.supersim.com.br/)
13:59:11	2645/2645	---M--	200	added ('OK')	image/png	etag:%22a55-5e82bb9ce99c1%22	https://www.supersim.com.br/media/2022/09/tudocelular.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/tudocelular.png	(from https://www.supersim.com.br/)
13:59:12	1412/1412	---M--	200	added ('OK')	image/png	etag:%22584-5e82bb9ee430b%22	https://www.supersim.com.br/media/2022/09/editalconcursos.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/editalconcursos.png	(from https://www.supersim.com.br/)
13:59:13	4175/4175	---M--	200	added ('OK')	image/png	etag:%22104f-5e99bdacd99c2%22	https://www.supersim.com.br/media/2022/09/logo_ig.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/logo_ig.png	(from https://www.supersim.com.br/)
13:59:13	54267/54267	---M--	200	added ('OK')	image/jpeg	etag:%22d3fb-6028328cc99ee%22	https://www.supersim.com.br/media/2023/08/Saiba-como-se-proteger-de-agiota-online-1024x682.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/08/Saiba-como-se-proteger-de-agiota-online-1024x682.jpg	(from https://www.supersim.com.br/)
13:59:14	53385/53385	---M--	200	added ('OK')	image/jpeg	etag:%22d089-601f7240847a9%22	https://www.supersim.com.br/media/2023/08/Emprestimo-pessoal-para-negativados-acessivel-e-seguro-1024x538.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/08/Emprestimo-pessoal-para-negativados-acessivel-e-seguro-1024x538.jpg	(from https://www.supersim.com.br/)
13:59:14	80018/80018	---MCZ	200	added ('OK')	text/html	etag:%22622387261da398dcdae38187f9bba9c6%22	https://www.supersim.com.br/blog/emprestimo-pessoal-para-negativado/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/blog/emprestimo-pessoal-para-negativado/index.html	(from https://www.supersim.com.br/)
13:59:14	58520/58520	---M--	200	added ('OK')	image/jpeg	etag:%22e498-602083cd4aac2%22	https://www.supersim.com.br/media/2023/08/young-man-his-son-with-curly-hair-x-1024x683.jpg	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2023/08/young-man-his-son-with-curly-hair-x-1024x683.jpg	(from https://www.supersim.com.br/)
13:59:15	79756/79756	---MCZ	200	added ('OK')	text/html	etag:%22cbe2cecffe1f5f8524a9cdd8f4abe823%22	https://www.supersim.com.br/blog/agiota-online-ou-emprestimo/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/blog/agiota-online-ou-emprestimo/index.html	(from https://www.supersim.com.br/)
13:59:15	82380/82380	---MCZ	200	added ('OK')	text/html	etag:%225c9da03f1b38953b07909b00787098dd%22	https://www.supersim.com.br/blog/dia-dos-pais/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/blog/dia-dos-pais/index.html	(from https://www.supersim.com.br/)
13:59:15	60093/60093	---MCZ	200	added ('OK')	text/html	etag:%225ebf04e929aff5df6d073170a25d7d81%22	https://www.supersim.com.br/vagas/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/vagas/index.html	(from https://www.supersim.com.br/)
13:59:16	79065/79065	---MCZ	200	added ('OK')	text/html	etag:%220b74d1d47dd0d2e6794f2a120db3e516%22	https://www.supersim.com.br/contato/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/contato/index.html	(from https://www.supersim.com.br/)
13:59:16	72689/72689	---MCZ	200	added ('OK')	text/html	etag:%222b2c6dfa7581acf9ce7481ab25972b9e%22	https://www.supersim.com.br/emprestimo-para-autonomo/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-para-autonomo/index.html	(from https://www.supersim.com.br/)
13:59:17	72829/72829	---MCZ	200	added ('OK')	text/html	etag:%223adaf8c0ad4933c9cc0c407aef38cbcb%22	https://www.supersim.com.br/emprestimo-para-mei/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-para-mei/index.html	(from https://www.supersim.com.br/)
13:59:17	108892/108892	---MCZ	200	added ('OK')	text/html	etag:%22ba1be5f9dcf74309babe3e6ceb1fba59%22	https://www.supersim.com.br/emprestimo-vale-a-pena/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-vale-a-pena/index.html	(from https://www.supersim.com.br/)
13:59:18	1988/1988	---M--	200	added ('OK')	image/png	etag:%227c4-5e998145aca07%22	https://www.supersim.com.br/media/2022/09/certificado-feex-2022.png	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/media/2022/09/certificado-feex-2022.png	(from https://www.supersim.com.br/)
13:59:19	79977/79977	---MCZ	200	added ('OK')	text/html	etag:%2285b11934fa305f8c7ece9f8cb311bef5%22	https://www.supersim.com.br/emprestimo-de-dinheiro/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/emprestimo-de-dinheiro/index.html	(from https://www.supersim.com.br/)
13:59:19	103029/103029	---MCZ	200	added ('OK')	text/html	etag:%22c76e8a37ff0967ac88e27d45c4c00108%22	https://www.supersim.com.br/chama-no-pix/	C:/Users/Lunar/OneDrive/Documentos/clona,supersim/www.supersim.com.br/chama-no-pix/index.html	(from https://www.supersim.com.br/)
